2025-04-13 21:55:50,840 - INFO - Epoch 1, Batch 43: Loss = 1.1686, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:50,896 - INFO - Epoch 1, Batch 44: Loss = 1.7546, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:50,952 - INFO - Epoch 1, Batch 45: Loss = 1.3681, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:51,009 - INFO - Epoch 1, Batch 46: Loss = 2.3559, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:51,063 - INFO - Epoch 1, Batch 47: Loss = 1.5990, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:51,130 - INFO - Epoch 1, Batch 48: Loss = 3.0079, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:51,187 - INFO - Epoch 1, Batch 49: Loss = 2.5029, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:51,243 - INFO - Epoch 1, Batch 50: Loss = 2.1693, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:51,295 - INFO - Epoch 1, Batch 51: Loss = 3.0047, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:51,351 - INFO - Epoch 1, Batch 52: Loss = 2.3899, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:51,407 - INFO - Epoch 1, Batch 53: Loss = 2.2053, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:51,460 - INFO - Epoch 1, Batch 54: Loss = 1.9797, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:51,516 - INFO - Epoch 1, Batch 55: Loss = 2.5451, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:51,574 - INFO - Epoch 1, Batch 56: Loss = 1.8908, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:51,637 - INFO - Epoch 1, Batch 57: Loss = 2.2166, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:51,692 - INFO - Epoch 1, Batch 58: Loss = 1.5879, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:51,751 - INFO - Epoch 1, Batch 59: Loss = 1.9510, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:51,803 - INFO - Epoch 1, Batch 60: Loss = 2.9240, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:51,862 - INFO - Epoch 1, Batch 61: Loss = 2.5058, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:51,916 - INFO - Epoch 1, Batch 62: Loss = 1.9325, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:51,973 - INFO - Epoch 1, Batch 63: Loss = 2.5920, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:52,026 - INFO - Epoch 1, Batch 64: Loss = 1.7772, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:52,082 - INFO - Epoch 1, Batch 65: Loss = 1.8296, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:52,133 - INFO - Epoch 1, Batch 66: Loss = 2.0755, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:52,188 - INFO - Epoch 1, Batch 67: Loss = 2.2717, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:52,242 - INFO - Epoch 1, Batch 68: Loss = 1.6802, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:52,297 - INFO - Epoch 1, Batch 69: Loss = 1.9045, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:52,355 - INFO - Epoch 1, Batch 70: Loss = 1.9168, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:52,410 - INFO - Epoch 1, Batch 71: Loss = 2.7551, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:52,466 - INFO - Epoch 1, Batch 72: Loss = 2.3901, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:52,524 - INFO - Epoch 1, Batch 73: Loss = 1.5396, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:52,579 - INFO - Epoch 1, Batch 74: Loss = 1.6313, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:52,635 - INFO - Epoch 1, Batch 75: Loss = 1.5608, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:52,689 - INFO - Epoch 1, Batch 76: Loss = 2.7489, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:52,743 - INFO - Epoch 1, Batch 77: Loss = 2.0041, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:52,795 - INFO - Epoch 1, Batch 78: Loss = 2.0381, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:52,849 - INFO - Epoch 1, Batch 79: Loss = 2.3603, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:52,901 - INFO - Epoch 1, Batch 80: Loss = 1.7084, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:52,956 - INFO - Epoch 1, Batch 81: Loss = 2.1023, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:53,011 - INFO - Epoch 1, Batch 82: Loss = 2.2072, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:53,070 - INFO - Epoch 1, Batch 83: Loss = 2.2503, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:53,128 - INFO - Epoch 1, Batch 84: Loss = 1.7878, Accuracy = 100.00%, Precision = 1.0000, Recall = 1.0000
2025-04-13 21:55:53,181 - INFO - Epoch 1, Batch 85: Loss = 1.3127, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:53,248 - INFO - Epoch 1, Batch 86: Loss = 1.2678, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:53,306 - INFO - Epoch 1, Batch 87: Loss = 2.0972, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:53,360 - INFO - Epoch 1, Batch 88: Loss = 1.6049, Accuracy = 100.00%, Precision = 1.0000, Recall = 1.0000
2025-04-13 21:55:53,413 - INFO - Epoch 1, Batch 89: Loss = 3.2519, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:53,469 - INFO - Epoch 1, Batch 90: Loss = 2.1856, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:53,524 - INFO - Epoch 1, Batch 91: Loss = 1.1008, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:53,583 - INFO - Epoch 1, Batch 92: Loss = 1.2120, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:53,638 - INFO - Epoch 1, Batch 93: Loss = 1.2685, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:53,692 - INFO - Epoch 1, Batch 94: Loss = 1.5544, Accuracy = 100.00%, Precision = 1.0000, Recall = 1.0000
2025-04-13 21:55:53,748 - INFO - Epoch 1, Batch 95: Loss = 1.7712, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:53,801 - INFO - Epoch 1, Batch 96: Loss = 1.5710, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:53,855 - INFO - Epoch 1, Batch 97: Loss = 3.2306, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:53,912 - INFO - Epoch 1, Batch 98: Loss = 1.5917, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:53,966 - INFO - Epoch 1, Batch 99: Loss = 1.2958, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:54,022 - INFO - Epoch 1, Batch 100: Loss = 2.3318, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:54,077 - INFO - Epoch 1, Batch 101: Loss = 0.6828, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:54,131 - INFO - Epoch 1, Batch 102: Loss = 1.2749, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
